id	name	type
IPR000254	Cellulose-bd_dom_fun	Domain
IPR005103	AA9	Family
IPR000675	Cutinase/axe	Family
IPR004898	Pectate_lyase_PlyH/PlyE-like	Family
IPR001000	GH10_dom	Domain
IPR033123	GH11_dom	Domain
IPR002130	Cyclophilin-type_PPIase_dom	Domain
IPR025658	Cyclophilin_TM1367	Domain
IPR018796	COA8	Family
IPR041183	Cyclophilin-like	Domain
IPR014044	CAP_domain	Domain
IPR000086	NUDIX_hydrolase_dom	Domain
IPR002200	Elicitin	Family
IPR005042	TAL_effector_rpt	Repeat
IPR008427	Extracellular_membr_CFEM_dom	Domain
IPR010829	Cerato-platanin	Family
IPR032382	AltA1	Domain
IPR009009	RlpA-like_DPBB	Domain
IPR021608	AvrL567	Family
IPR040621	AvrLm4-7	Domain
IPR041353	AvrM_N	Domain
IPR040489	AvrM-A	Domain
IPR029463	Lys_MEP	Domain
IPR021476	Egh16-like	Family
IPR002921	Fungal_lipase-like	Domain
IPR029226	Ecp2	Domain
IPR015087	NIP1	Family
IPR008701	NPP1	Family
IPR018570	Phytotoxin_PcF	Domain
IPR021635	Toxin_ToxA	Family
IPR041450	ToxB-like_N_ascomy	Domain
IPR001002	Chitin-bd_1	Domain
IPR018392	LysM_dom	Domain
IPR002557	Chitin-bd_dom	Domain
IPR001842	Peptidase_M36	Family
IPR011096	FTP_domain	Domain
IPR003172	ML_dom	Domain
IPR000306	Znf_FYVE	Domain
IPR010569	Myotubularin-like_Pase_dom	Domain
IPR031825	RXLR	Family
IPR040691	PexRD2_WYL	Domain
IPR040786	RXLR_WY	Domain
IPR001574	Ribosome_inactivat_prot	Family
IPR000026	Gua-sp_ribonuclease_N1/T1/U2	Family
IPR000772	Ricin_B_lectin	Domain
IPR021679	Toxin_endonuclease_YhaV	Family
IPR032390	PNKP_C	Domain
IPR032380	PNKP_ligase_dom	Domain
IPR002223	Kunitz_BPTI	Domain
IPR001064	Beta/gamma_crystallin	Domain
IPR001304	C-type_lectin-like	Domain
IPR016090	PLipase_A2_dom	Domain
IPR035076	Toxin/TOLIP	Domain
IPR001762	Disintegrin_dom	Domain
IPR001947	Scorpion_toxinS_K_inh	Family
IPR002061	Scorpion_toxinL/defensin	Family
IPR001178	Pest_cryst_cen_dom	Domain
IPR000881	Myotoxin	Family
IPR005830	Aerolysn	Family
IPR006173	Staph_tox_OB	Domain
IPR022404	Diphtheria_toxin_rcpt-bd_dom	Domain
IPR001875	DED_dom	Domain
IPR001615	Endotoxin_CytB	Family
IPR001144	Enterotoxin_A	Family
IPR001835	Enterotoxin_B	Family
IPR001590	Peptidase_M12B	Domain
IPR000395	Bot/tetX_LC	Domain
IPR000020	Anaphylatoxin/fibulin	Domain
IPR001489	Heat-stable_enterotox_STa	Family
IPR003189	SLT_beta	Family
IPR003477	PemK-like	Family
IPR003842	Vacuolating_cytotoxin	Family
IPR022406	Diphtheria_toxin_catalytic_dom	Domain
IPR022405	Diphtheria_toxin_translocation	Domain
IPR003996	RTX_toxin-activating_protC_bac	Family
IPR004169	Spidertoxin	Family
IPR006123	Toxin_b-grasp_Staph/Strep	Domain
IPR003898	Borpert_toxA	Family
IPR020063	ToxinB_su2/3_C_BORPE	Domain
IPR004214	Conotoxin	Family
IPR004311	Vacuolating_cytotoxin_put	Domain
IPR004991	Aerolysin-like	Family
IPR005138	APT_dom	Domain
IPR035088	PA_Ca-bd	Domain
IPR005165	Anthrax_toxin_edema_cen	Domain
IPR003558	CDtoxinA/C	Family
IPR003897	Clenterotox	Family
IPR005169	CagA_C	Domain
IPR005520	Attacin_N	Domain
IPR005521	Attacin_C	Domain
IPR005535	Cyclotide	Family
IPR005638	Pest_crys_C	Domain
IPR005639	Pest_crys_N	Domain
IPR007337	RelB/DinJ	Family
IPR007460	BrnT_toxin	Family
IPR006914	VENN_dom	Domain
IPR007711	HigB-1	Family
IPR007712	RelE/ParE_toxin	Family
IPR007958	Scorpion_toxinS_Cl_inh	Family
IPR008017	Atracotoxin_delta	Family
IPR008036	Conotoxin_mu-typ	Family
IPR008798	Avirulence_B/C	Family
IPR008911	Toxin_alpha-KTx_8/9	Family
IPR008700	TypeIII_avirulence_cleave	Domain
IPR008514	T6SS_Hcp	Family
IPR008900	Zot_N	Domain
IPR008414	HBL	Family
IPR008718	NolX	Family
IPR010261	Tir_chaperone	Family
IPR009364	YdaT_toxin	Domain
IPR008106	Adhesin_MafB	Family
IPR009369	LktC	Family
IPR009382	Coleoptericin	Family
IPR009387	HigB-2	Family
IPR009405	TcpF	Family
IPR009415	Omega-atracotox	Family
IPR010488	Zeta_toxin_domain	Domain
IPR010489	Effector_NleG	Family
IPR009456	Moricin_fam	Family
IPR010503	LT-IIB	Family
IPR009458	Ectatomin	Family
IPR009610	CbtA_toxin	Family
IPR009614	YoeB_toxin	Family
IPR009883	YgfX	Family
IPR009958	Conotoxin_a-typ	Family
IPR010002	Poneritoxin	Family
IPR010012	Toxin_11	Family
IPR014781	Anthrax_toxin_lethal/edema_N/C	Domain
IPR011696	Huwentoxin-1	Family
IPR011694	TSGP1	Family
IPR012497	Neurotoxin_B-IV	Family
IPR012498	Toxin_14	Family
IPR012927	Toxin_15_N	Domain
IPR012933	HicA_mRNA_interferase	Family
IPR012414	BDS_K_chnl_tox	Family
IPR012499	Toxin_16	Family
IPR013104	Toxin_rcpt-bd_C	Domain
IPR012500	Toxin_trans	Domain
IPR012928	Toxin_rcpt-bd_N	Domain
IPR016183	Leukocidin/Hemolysin_toxin	Domain
IPR012523	Antimicrobial_4	Family
IPR012522	Antimicrobial_3	Family
IPR012622	Ergtoxin	Family
IPR012623	Toxin_18	Family
IPR012624	Toxin_19	Family
IPR012625	Toxin_20	Family
IPR012557	Heat-stable_enterotox_EAST1	Family
IPR012626	Spider_insecticidal_peptide	Family
IPR012627	Toxin_22	Family
IPR012628	Toxin_23	Family
IPR012629	Conotoxin_TVIIAGS	Family
IPR012630	Toxin_25	Family
IPR012534	Bombolitin	Family
IPR012631	Toxin_26	Family
IPR012509	Neurotoxin_3_Anemonia	Domain
IPR012632	Scorpion_calcine	Family
IPR012528	Antimicrobial_9	Family
IPR012633	Toxin_28	Family
IPR012634	Toxin_29	Family
IPR012635	Parabutoxin	Family
IPR012636	Toxin_32	Family
